// Log of inequalities that have been verified by interval arithmetic.
QED, ineq(1550635295), secs(1), svn(1957,57), Sun Sep  5 11:23:13 ICT 2010
QED, ineq(1550635295), secs(1), svn(1957,57), Sun Sep  5 11:24:56 ICT 2010
QED, ineq(2563100177), secs(11), svn(1957,57), Sun Sep  5 11:25:08 ICT 2010
QED, ineq(4652969746 2), secs(29), svn(1957,57), Sun Sep  5 11:25:38 ICT 2010
QED, ineq(5735387903), secs(4), svn(1957,57), Sun Sep  5 11:25:43 ICT 2010
QED, ineq(4047599236), secs(14), svn(1957,57), Sun Sep  5 11:25:58 ICT 2010
QED, ineq(7726998381), secs(63), svn(1957,57), Sun Sep  5 11:27:02 ICT 2010
QED, ineq(7394240696), secs(88), svn(1957,57), Sun Sep  5 11:28:32 ICT 2010
QED, ineq(7718591733), secs(5), svn(1957,57), Sun Sep  5 11:28:38 ICT 2010
QED, ineq(1085358243), secs(18), svn(1957,57), Sun Sep  5 11:28:58 ICT 2010
QED, ineq(8611785756), secs(35), svn(1957,57), Sun Sep  5 11:29:34 ICT 2010
QED, ineq(181212899 1), secs(8), svn(1957,57), Sun Sep  5 11:29:44 ICT 2010
QED, ineq(8657368829), secs(4), svn(1957,57), Sun Sep  5 11:29:50 ICT 2010
QED, ineq(1894886027), secs(2), svn(1957,57), Sun Sep  5 11:29:53 ICT 2010
QED, ineq(2390583444), secs(1), svn(1957,57), Sun Sep  5 11:29:55 ICT 2010
QED, ineq(1248932983), secs(2), svn(1957,57), Sun Sep  5 11:30:00 ICT 2010
QED, ineq(6725783616), secs(8), svn(1957,57), Sun Sep  5 11:30:09 ICT 2010
QED, ineq(9185711902), secs(4), svn(1957,57), Sun Sep  5 11:30:14 ICT 2010
QED, ineq(6284721194), secs(1), svn(1957,57), Sun Sep  5 11:30:17 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 11:30:23 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 12:33:54 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 12:37:51 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 12:38:37 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 12:39:54 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 12:40:44 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 12:42:14 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 15:17:59 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 15:57:35 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:10:36 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 20:11:58 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:13:12 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:14:13 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:21:10 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:25:31 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Sun Sep  5 20:36:13 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 20:38:39 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Sun Sep  5 20:56:26 ICT 2010
QED, ineq(3137600529), secs(4), svn(1957,57), Mon Sep  6 05:55:20 ICT 2010
QED, ineq(3137600529), secs(3), svn(1957,57), Mon Sep  6 05:57:32 ICT 2010
